提拉	ti~la
流逝	liu~shi
周一	zhou~yi
一课	yi~ke
救	jiu
随	sui
下集	xia~ji
不惜	bu~xi
家居	jia~ju
才	cai
宝莲	bao~lian
闪闪	shan~shan
同乐	tong~le
大宝	da~bao
拖拉	tuo~la
才回	cai~hui
砍价	kan~jia
天启	tian~qi
天气	tian~qi
失恋	shi~lian
你	ni
凉快	liang~kuai
图们江	tu~men~jiang
了	le
太平洋	tai~ping~yang
侯门	hou~men
调理水	diao~li~shui
听我的	ting~wo~de
二个	er~ge
听了	ting~le
调理	diao~li
她怕	ta~pa
全力	quan~li
她没有	ta~mei~you
吗	ma
一首	yi~shou
革命	ge~ming
通缉令	tong~qi~ling
转移	zhuan~yi
是	shi
没	mei
余量	yu~liang
任性	ren~xing
利于	li~yu
不进	bu~jin
呐	ne
懂不懂	dong~bu~dong
宝莲灯	bao~lian~deng
一桶	yi~tong
婶婶	shen~shen
那	na
推荐	tui~jian
诸子	zhu~zi
我	wo
货了	huo~le
完	wan
里了	li~le
还不是	huan~bu~shi
通缉	tong~qi
太极拳	tai~ji~quan
翻了	fan~le
有	you
吧	ba
号	hao
的	de
傻了	sha~le
肥了	fei~le
听起来	ting~qi~lai
婉儿	wan~er
躺卧	tang~wo
滑板	hua~ban
主任	zhu~ren
宝贝儿	bao~bei~er
已	yi
波罗	bo~luo
感到	gan~dao
在	zai
回击	hui~ji
特沃德	te~wo~de
啵啵	bo~bo
嗒嗒	ta~ta
班子	ban~zi
浮浮	fu~fu
快快	kuai~kuai
不认	bu~ren
浴室	yu~shi
我做	wo~zuo
你玩	ni~wan
哥	ge
会	hui
就剩	jiu~sheng
大	da
看一下	kan~yi~xia
你回来	ni~hui~lai
伤了	shang~le
实现	shi~xian
这	zhe
要	yao
奇域	qi~yu
室友	shi~you
他吗	ta~ma
不	bu
醉	zui
杨成俊	yang~cheng~jun
家	jia
海阳	hai~yang
好腻	hao~ni
它	ta
看客	kan~ke
似非	si~fei
何	he
服输	fu~shu
抢到	qiang~dao
央视	yang~shi
考研	kao~yan
巷	xiang
小	xiao
还	huan
香港	xiang~gang
椅子	yi~zi
像不像	xiang~bu~xiang
套路	tao~lu
医妃	yi~fei
哦	e
剂	ji
柜子	gui~zi
客	ke
哪次	na~ci
李	li
之	zhi
呢	ni
发点	fa~dian
一步	yi~bu
谚语	yan~yu
侄	zhi
野	ye
爽爽	shuang~shuang
干	gan
谁	shui
七	qi
工具	gong~ju
塔沃拉	ta~wo~la
洪	hong
体育场	ti~yu~chang
韦	wei
到	dao
都	du
叶	ye
投	tou
说	shuo
来	lai
点	dian
鱿鱼	you~yu
膜法	mo~fa
赖	lai
利益	li~yi
太忙了	tai~mang~le
新	xin
趟趟	tang~tang
起	qi
台式机	tai~shi~ji
他们	ta~men
特色课	te~se~ke
石家庄	shi~jia~zhuang
几项	ji~xiang
谢	xie
特卡琴科	te~qia~qin~ke
刷牙	shua~ya
塔斯科	ta~si~ke
爱	ai
姐	jie
富豪	fu~hao
王	wang
去	qu
听咯	ting~ge
死心	si~xin
没玩	mei~wan
乘法	cheng~fa
物	wu
原唱	yuan~chang
招	zhao
馅	xian
教	jiao
墨菊	mo~ju
起了	qi~le
进口	jin~kou
就没	jiu~mei
早	zao
续续	xu~xu
偏偏	pian~pian
公平	gong~ping
把钱	ba~qian
紧致	jin~zhi
到的	dao~de
做	zuo
么	yao
看	kan
五	wu
子	zi
甜蜜	tian~mi
稀罕	xi~han
霞	xia
人	ren
钱	qian
发	fa
希	xi
莪	e
同事	tong~shi
经济	jing~ji
行	xing
匿名	ni~ming
兰兰	lan~lan
通辽	tong~liao
快捷键	kuai~jie~jian
恩	en
我梦	wo~meng
叫我们	jiao~wo~men
首	shou
搬	ban
九零	jiu~ling
模棱两可	mo~leng~liang~ke
密友	mi~you
上	shang
什	shi
为难	wei~nan
小名	xiao~ming
呀	ya
老	lao
不包	bu~bao
进	jin
